latitude,longitude,hres_weight,gfs_weight
8.0,68.0,0.79222155,0.20777845
8.0,68.25,0.79168767,0.20831233
8.0,68.5,0.79125315,0.20874685
8.0,68.75,0.7912409,0.20875913
8.0,69.0,0.7912017,0.20879829
8.0,69.25,0.79141784,0.20858216
8.0,69.5,0.78973895,0.21026105
8.0,69.75,0.79060805,0.20939195
8.0,70.0,0.5491504,0.4508496
8.0,70.25,0.791811,0.20818901
8.0,70.5,0.7910467,0.20895332
8.0,70.75,0.7914203,0.20857972
8.0,71.0,0.79165334,0.20834666
8.0,71.25,0.7909703,0.20902967
8.0,71.5,0.79112655,0.20887345
8.0,71.75,0.7909703,0.20902967
8.0,72.0,0.7909703,0.20902967
8.0,72.25,0.7914771,0.20852292
8.0,72.5,0.79176605,0.20823395
8.0,72.75,0.7913356,0.20866442
8.0,73.0,0.79166585,0.20833415
8.0,73.25,0.79192007,0.20807993
8.0,73.5,0.791483,0.20851701
8.0,73.75,0.7916145,0.20838553
8.0,74.0,0.7916145,0.20838553
8.0,74.25,0.79166585,0.20833415
8.0,74.5,0.7918687,0.20813131
8.0,74.75,0.791314,0.208686
8.0,75.0,0.79076713,0.20923287
8.0,75.25,0.79006267,0.20993733
8.0,75.5,0.79048264,0.20951736
8.0,75.75,0.7911156,0.20888442
8.0,76.0,0.7911114,0.20888859
8.0,76.25,0.791314,0.208686
8.0,76.5,0.79122394,0.20877606
8.0,76.75,0.7910559,0.20894408
8.0,77.0,0.79160523,0.20839477
8.0,77.25,0.7922206,0.20777941
8.0,77.5,0.7934931,0.20650691
8.0,77.75,0.7913565,0.2086435
8.0,78.0,0.7892774,0.21072263
8.0,78.25,0.5019837,0.4980163
8.0,78.5,0.502244,0.497756
8.0,78.75,0.502244,0.497756
8.0,79.0,0.7775755,0.2224245
8.0,79.25,0.79601544,0.20398456
8.0,79.5,0.78410673,0.21589327
8.0,79.75,0.7891005,0.21089947
8.0,80.0,0.23637155,0.7636285
8.0,80.25,0.24902841,0.75097156
8.0,80.5,0.2620721,0.7379279
8.0,80.75,0.28832957,0.7116704
8.0,81.0,0.28370494,0.71629506
8.0,81.25,0.27874178,0.7212582
8.0,81.5,0.7896881,0.21031189
8.0,81.75,0.7888463,0.21115369
8.0,82.0,0.7887918,0.21120822
8.0,82.25,0.79069406,0.20930594
8.0,82.5,0.7912284,0.20877159
8.0,82.75,0.79114914,0.20885086
8.0,83.0,0.7914309,0.20856911
8.0,83.25,0.7918665,0.20813352
8.0,83.5,0.79233825,0.20766175
8.0,83.75,0.7897711,0.21022892
8.0,84.0,0.48511472,0.5148853
8.0,84.25,0.50106597,0.49893403
8.0,84.5,0.5035994,0.4964006
8.0,84.75,0.48752734,0.5124726
8.0,85.0,0.79141897,0.20858103
8.0,85.25,0.7910908,0.20890921
8.0,85.5,0.79131156,0.20868844
8.0,85.75,0.79195064,0.20804936
8.0,86.0,0.79115564,0.20884436
8.0,86.25,0.79110426,0.20889574
8.0,86.5,0.79110426,0.20889574
8.0,86.75,0.7917371,0.20826292
8.0,87.0,0.7915345,0.20846552
8.0,87.25,0.7912857,0.2087143
8.0,87.5,0.7919153,0.2080847
8.0,87.75,0.79011667,0.20988333
8.0,88.0,0.7900665,0.20993352
8.0,88.25,0.7901485,0.2098515
8.0,88.5,0.7903243,0.20967573
8.0,88.75,0.7911962,0.20880377
8.0,89.0,0.79188544,0.20811456
8.0,89.25,0.79224247,0.20775753
8.0,89.5,0.7926597,0.2073403
8.0,89.75,0.79226476,0.20773524
8.0,90.0,0.79150116,0.20849884
8.0,90.25,0.7929989,0.20700109
8.0,90.5,0.7924694,0.20753062
8.0,90.75,0.7919652,0.20803481
8.0,91.0,0.7903243,0.20967573
8.0,91.25,0.79098076,0.20901924
8.0,91.5,0.7913665,0.20863348
8.0,91.75,0.79102147,0.20897853
8.0,92.0,0.30239695,0.69760305
8.0,92.25,0.27979764,0.7202023
8.0,92.5,0.26876667,0.73123336
8.0,92.75,0.789372,0.21062797
8.0,93.0,0.79083604,0.20916396
8.0,93.25,0.790751,0.20924902
8.0,93.5,0.7905951,0.20940489
8.0,93.75,0.7912449,0.20875508
8.0,94.0,0.7912186,0.20878142
8.0,94.25,0.7911699,0.20883012
8.0,94.5,0.7890986,0.21090138
8.0,94.75,0.26796275,0.73203725
8.0,95.0,0.7894617,0.21053833
8.0,95.25,0.79105973,0.20894027
8.0,95.5,0.79100126,0.20899874
8.0,95.75,0.79105973,0.20894027
8.0,96.0,0.7906256,0.20937443
8.25,68.0,0.7920387,0.20796132
8.25,68.25,0.79234064,0.20765936
8.25,68.5,0.7915398,0.20846021
8.25,68.75,0.7914084,0.20859158
8.25,69.0,0.7917089,0.20829111
8.25,69.25,0.7914216,0.20857841
8.25,69.5,0.7904092,0.2095908
8.25,69.75,0.7903605,0.20963949
8.25,70.0,0.79060805,0.20939195
8.25,70.25,0.7904092,0.2095908
8.25,70.5,0.7910205,0.20897949
8.25,70.75,0.7910205,0.20897949
8.25,71.0,0.79117674,0.20882326
8.25,71.25,0.79112655,0.20887345
8.25,71.5,0.7907709,0.20922911
8.25,71.75,0.79112655,0.20887345
8.25,72.0,0.7911466,0.20885342
8.25,72.25,0.79160315,0.20839685
8.25,72.5,0.791219,0.208781
8.25,72.75,0.7914269,0.2085731
8.25,73.0,0.79166585,0.20833415
8.25,73.25,0.7916145,0.20838553
8.25,73.5,0.7914316,0.2085684
8.25,73.75,0.7914181,0.20858192
8.25,74.0,0.7910129,0.20898712
8.25,74.25,0.79146945,0.20853055
8.25,74.5,0.7914316,0.2085684
8.25,74.75,0.7913821,0.20861793
8.25,75.0,0.7911156,0.20888442
8.25,75.25,0.7908269,0.20917308
8.25,75.5,0.7908269,0.20917308
8.25,75.75,0.7902921,0.20970792
8.25,76.0,0.7911156,0.20888442
8.25,76.25,0.7909697,0.20903027
8.25,76.5,0.79152554,0.20847446
8.25,76.75,0.7915355,0.2084645
8.25,77.0,0.7920841,0.2079159
8.25,77.25,0.26405457,0.73594546
8.25,77.5,0.79137975,0.20862025
8.25,77.75,0.7913236,0.2086764
8.25,78.0,0.7913834,0.20861661
8.25,78.25,0.5019837,0.4980163
8.25,78.5,0.5019837,0.4980163
8.25,78.75,0.502244,0.497756
8.25,79.0,0.502244,0.497756
8.25,79.25,0.502244,0.497756
8.25,79.5,0.78206736,0.21793264
8.25,79.75,0.42024642,0.5797536
8.25,80.0,0.24615768,0.75384235
8.25,80.25,0.25004905,0.74995095
8.25,80.5,0.4315727,0.5684273
8.25,80.75,0.29272747,0.7072725
8.25,81.0,0.79206073,0.20793927
8.25,81.25,0.79230905,0.20769095
8.25,81.5,0.7923183,0.20768172
8.25,81.75,0.7926226,0.20737737
8.25,82.0,0.792674,0.207326
8.25,82.25,0.79137087,0.20862913
8.25,82.5,0.7907779,0.20922208
8.25,82.75,0.79088897,0.20911103
8.25,83.0,0.7918413,0.20815867
8.25,83.25,0.79141265,0.20858735
8.25,83.5,0.79120845,0.20879155
8.25,83.75,0.79140925,0.20859075
8.25,84.0,0.7906983,0.20930171
8.25,84.25,0.38814798,0.61185205
8.25,84.5,0.46993157,0.5300684
8.25,84.75,0.78895205,0.21104795
8.25,85.0,0.7915375,0.20846248
8.25,85.25,0.79128164,0.20871836
8.25,85.5,0.7911271,0.20887291
8.25,85.75,0.7921948,0.20780522
8.25,86.0,0.79178846,0.20821154
8.25,86.25,0.79178846,0.20821154
8.25,86.5,0.7915608,0.20843917
8.25,86.75,0.79076,0.20924002
8.25,87.0,0.7913928,0.2086072
8.25,87.25,0.79167116,0.20832884
8.25,87.5,0.7912857,0.2087143
8.25,87.75,0.79148006,0.20851994
8.25,88.0,0.79157084,0.20842916
8.25,88.25,0.79310924,0.20689076
8.25,88.5,0.79148674,0.20851326
8.25,88.75,0.79109347,0.20890653
8.25,89.0,0.79114753,0.20885247
8.25,89.25,0.79245555,0.20754445
8.25,89.5,0.7926597,0.2073403
8.25,89.75,0.79196316,0.20803684
8.25,90.0,0.79248345,0.20751655
8.25,90.25,0.792073,0.20792699
8.25,90.5,0.79222924,0.20777076
8.25,90.75,0.79160964,0.20839036
8.25,91.0,0.79158986,0.20841014
8.25,91.25,0.79123145,0.20876855
8.25,91.5,0.3856025,0.6143975
8.25,91.75,0.368927,0.631073
8.25,92.0,0.39242184,0.60757816
8.25,92.25,0.26969454,0.73030543
8.25,92.5,0.7909701,0.20902991
8.25,92.75,0.7917876,0.20821238
8.25,93.0,0.7911818,0.2088182
8.25,93.25,0.79123306,0.20876694
8.25,93.5,0.79109406,0.20890594
8.25,93.75,0.7915378,0.20846218
8.25,94.0,0.7919078,0.20809221
8.25,94.25,0.7915467,0.2084533
8.25,94.5,0.7916435,0.2083565
8.25,94.75,0.78979164,0.21020836
8.25,95.0,0.3924851,0.60751486
8.25,95.25,0.39210007,0.6078999
8.25,95.5,0.78887653,0.21112347
8.25,95.75,0.39748698,0.602513
8.25,96.0,0.39984688,0.6001531
8.5,68.0,0.79202515,0.20797485
8.5,68.25,0.79202515,0.20797485
8.5,68.5,0.7920387,0.20796132
