latitude,longitude,tp_hres_weight,tp_gfs_weight
8.0,68.0,0.8716285,0.12837148
8.0,68.25,0.9003999,0.09960008
8.0,68.5,0.89776987,0.10223013
8.0,68.75,0.86575735,0.13424265
8.0,69.0,0.8443445,0.1556555
8.0,69.25,0.8074537,0.19254631
8.0,69.5,0.795801,0.20419902
8.0,69.75,0.8029219,0.19707811
8.0,70.0,0.5427094,0.4572906
8.0,70.25,0.81807476,0.18192524
8.0,70.5,0.8443209,0.1556791
8.0,70.75,0.83808935,0.16191065
8.0,71.0,0.8415769,0.15842313
8.0,71.25,0.858104,0.14189601
8.0,71.5,0.8670514,0.13294858
8.0,71.75,0.85609007,0.14390993
8.0,72.0,0.8471586,0.15284139
8.0,72.25,0.8582882,0.14171177
8.0,72.5,0.82833266,0.17166734
8.0,72.75,0.86353093,0.13646907
8.0,73.0,0.8873058,0.112694204
8.0,73.25,0.8582882,0.14171177
8.0,73.5,0.86573374,0.13426626
8.0,73.75,0.877424,0.122576
8.0,74.0,0.89561903,0.104380965
8.0,74.25,0.88823974,0.11176026
8.0,74.5,0.856893,0.143107
8.0,74.75,0.8280497,0.17195028
8.0,75.0,0.81419885,0.18580115
8.0,75.25,0.7982924,0.2017076
8.0,75.5,0.7986196,0.20138037
8.0,75.75,0.8031257,0.19687432
8.0,76.0,0.81800884,0.18199116
8.0,76.25,0.837576,0.16242403
8.0,76.5,0.84739363,0.15260637
8.0,76.75,0.8379731,0.16202688
8.0,77.0,0.8083241,0.1916759
8.0,77.25,0.80415654,0.19584346
8.0,77.5,0.7968378,0.2031622
8.0,77.75,0.8096037,0.19039631
8.0,78.0,0.7993449,0.2006551
8.0,78.25,0.5027817,0.4972183
8.0,78.5,0.5027817,0.4972183
8.0,78.75,0.5027817,0.4972183
8.0,79.0,0.7803369,0.21966308
8.0,79.25,0.7983277,0.20167232
8.0,79.5,0.7844046,0.21559542
8.0,79.75,0.8019345,0.19806552
8.0,80.0,0.232925,0.767075
8.0,80.25,0.2462838,0.75371623
8.0,80.5,0.25869223,0.74130774
8.0,80.75,0.28763193,0.7123681
8.0,81.0,0.280284,0.719716
8.0,81.25,0.28112158,0.7188784
8.0,81.5,0.83908427,0.16091573
8.0,81.75,0.8727636,0.12723643
8.0,82.0,0.91057235,0.08942765
8.0,82.25,0.93006617,0.06993383
8.0,82.5,0.9196545,0.08034551
8.0,82.75,0.9107546,0.08924538
8.0,83.0,0.88227785,0.11772215
8.0,83.25,0.84411037,0.15588963
8.0,83.5,0.80819875,0.19180125
8.0,83.75,0.7967507,0.20324928
8.0,84.0,0.50154185,0.49845815
8.0,84.25,0.514569,0.48543102
8.0,84.5,0.5171016,0.4828984
8.0,84.75,0.49767426,0.5023258
8.0,85.0,0.8084191,0.19158089
8.0,85.25,0.81764865,0.18235135
8.0,85.5,0.8314955,0.16850448
8.0,85.75,0.8314955,0.16850448
8.0,86.0,0.84375644,0.15624356
8.0,86.25,0.84375644,0.15624356
8.0,86.5,0.8469481,0.15305191
8.0,86.75,0.83388263,0.16611737
8.0,87.0,0.8165284,0.18347162
8.0,87.25,0.8165284,0.18347162
8.0,87.5,0.8141492,0.1858508
8.0,87.75,0.7972546,0.20274538
8.0,88.0,0.7972546,0.20274538
8.0,88.25,0.7898713,0.21012872
8.0,88.5,0.79773736,0.20226264
8.0,88.75,0.8176377,0.18236232
8.0,89.0,0.82803965,0.17196035
8.0,89.25,0.83459485,0.16540515
8.0,89.5,0.8320281,0.16797191
8.0,89.75,0.8283153,0.17168468
8.0,90.0,0.81495476,0.18504524
8.0,90.25,0.8242257,0.17577428
8.0,90.5,0.82414716,0.17585284
8.0,90.75,0.8041216,0.19587839
8.0,91.0,0.7983677,0.20163232
8.0,91.25,0.7982892,0.20171082
8.0,91.5,0.79919994,0.20080006
8.0,91.75,0.7982301,0.20176989
8.0,92.0,0.29829875,0.7017013
8.0,92.25,0.28260964,0.71739036
8.0,92.5,0.26562837,0.73437166
8.0,92.75,0.79684985,0.20315015
8.0,93.0,0.8345616,0.16543841
8.0,93.25,0.8600524,0.1399476
8.0,93.5,0.8582373,0.14176267
8.0,93.75,0.8417459,0.15825409
8.0,94.0,0.8172108,0.1827892
8.0,94.25,0.8034983,0.19650167
8.0,94.5,0.79522574,0.20477426
8.0,94.75,0.26441467,0.73558533
8.0,95.0,0.7939592,0.2060408
8.0,95.25,0.82333,0.17667001
8.0,95.5,0.8319378,0.16806221
8.0,95.75,0.8231096,0.17689037
8.0,96.0,0.81474626,0.18525374
8.25,68.0,0.88823974,0.11176026
8.25,68.25,0.89292145,0.10707855
8.25,68.5,0.8939794,0.10602063
8.25,68.75,0.87601995,0.123980045
8.25,69.0,0.8443445,0.1556555
8.25,69.25,0.8320695,0.16793048
8.25,69.5,0.81768936,0.18231064
8.25,69.75,0.80310696,0.19689304
8.25,70.0,0.8075409,0.1924591
8.25,70.25,0.8177519,0.18224812
8.25,70.5,0.8526577,0.14734232
8.25,70.75,0.8526577,0.14734232
8.25,71.0,0.8697381,0.1302619
8.25,71.25,0.8759178,0.12408221
8.25,71.5,0.8842028,0.11579722
8.25,71.75,0.87734544,0.12265456
8.25,72.0,0.8343685,0.16563147
8.25,72.25,0.8344742,0.1655258
8.25,72.5,0.8180109,0.18198907
8.25,72.75,0.8528419,0.14715809
8.25,73.0,0.88798296,0.112017035
8.25,73.25,0.87426746,0.12573254
8.25,73.5,0.88026464,0.11973536
8.25,73.75,0.8984974,0.1015026
8.25,74.0,0.90476936,0.09523064
8.25,74.25,0.8991797,0.1008203
8.25,74.5,0.87601143,0.12398857
8.25,74.75,0.84739363,0.15260637
8.25,75.0,0.8033563,0.19664371
8.25,75.25,0.7991522,0.2008478
8.25,75.5,0.798234,0.20176601
8.25,75.75,0.7980503,0.20194972
8.25,76.0,0.8031257,0.19687432
8.25,76.25,0.83151275,0.16848725
8.25,76.5,0.8421675,0.1578325
8.25,76.75,0.8144081,0.18559188
8.25,77.0,0.80327845,0.19672155
8.25,77.25,0.26892066,0.73107934
8.25,77.5,0.8356856,0.16431439
8.25,77.75,0.88798296,0.112017035
8.25,78.0,0.84516037,0.15483963
8.25,78.25,0.5027566,0.4972434
8.25,78.5,0.5027817,0.4972183
8.25,78.75,0.5027817,0.4972183
8.25,79.0,0.5027817,0.4972183
8.25,79.25,0.5041974,0.49580258
8.25,79.5,0.78190523,0.21809477
8.25,79.75,0.4111477,0.5888523
8.25,80.0,0.24053024,0.75946975
8.25,80.25,0.24558406,0.7544159
8.25,80.5,0.42530322,0.5746968
8.25,80.75,0.2976391,0.70236087
8.25,81.0,0.80955654,0.19044346
8.25,81.25,0.80372447,0.19627553
8.25,81.5,0.84998524,0.15001476
8.25,81.75,0.8630051,0.1369949
8.25,82.0,0.8822738,0.11772621
8.25,82.25,0.90502614,0.09497386
8.25,82.5,0.90469486,0.095305145
8.25,82.75,0.89769536,0.10230464
8.25,83.0,0.8732102,0.12678981
8.25,83.25,0.842093,0.15790701
8.25,83.5,0.8094866,0.19051337
8.25,83.75,0.8097236,0.19027638
8.25,84.0,0.7977153,0.2022847
8.25,84.25,0.39112914,0.60887086
8.25,84.5,0.4700918,0.5299082
8.25,84.75,0.7960447,0.2039553
8.25,85.0,0.80297196,0.19702804
8.25,85.25,0.8027516,0.1972484
8.25,85.5,0.80819875,0.19180125
8.25,85.75,0.80819875,0.19180125
8.25,86.0,0.8238486,0.1761514
8.25,86.25,0.8342963,0.16570371
8.25,86.5,0.84702665,0.15297335
8.25,86.75,0.8497449,0.15025508
8.25,87.0,0.83388263,0.16611737
8.25,87.25,0.83122015,0.16877985
8.25,87.5,0.8165284,0.18347162
8.25,87.75,0.8034913,0.1965087
8.25,88.0,0.81405824,0.18594176
8.25,88.25,0.8089293,0.19107068
8.25,88.5,0.8034913,0.1965087
8.25,88.75,0.8080524,0.19194758
8.25,89.0,0.8142766,0.18572342
8.25,89.25,0.83459485,0.16540515
8.25,89.5,0.83459485,0.16540515
8.25,89.75,0.83442533,0.16557467
8.25,90.0,0.84723186,0.15276814
8.25,90.25,0.857972,0.14202797
8.25,90.5,0.86321473,0.13678527
8.25,90.75,0.8472134,0.15278661
8.25,91.0,0.82441247,0.17558753
8.25,91.25,0.8041216,0.19587839
8.25,91.5,0.3819659,0.6180341
8.25,91.75,0.37087086,0.6291292
8.25,92.0,0.39663368,0.6033663
8.25,92.25,0.27109793,0.7289021
8.25,92.5,0.7982301,0.20176989
8.25,92.75,0.8283623,0.17163771
8.25,93.0,0.8345616,0.16543841
8.25,93.25,0.83786875,0.16213125
8.25,93.5,0.8505731,0.14942688
8.25,93.75,0.8507099,0.14929008
8.25,94.0,0.83805805,0.16194195
8.25,94.25,0.8384516,0.16154838
8.25,94.5,0.8231882,0.17681181
8.25,94.75,0.79578424,0.20421576
8.25,95.0,0.39310816,0.6068919
8.25,95.25,0.39835402,0.60164595
8.25,95.5,0.7932532,0.20674682
8.25,95.75,0.39680496,0.6031951
8.25,96.0,0.39921808,0.6007819
8.5,68.0,0.9006567,0.0993433
8.5,68.25,0.8984974,0.1015026
8.5,68.5,0.8845381,0.115461886
8.5,68.75,0.8600998,0.13990021
8.5,69.0,0.8584629,0.14153707
8.5,69.25,0.8699275,0.13007247
8.5,69.5,0.8502908,0.14970922
8.5,69.75,0.808718,0.19128197
8.5,70.0,0.8347822,0.16521782
8.5,70.25,0.858104,0.14189601
8.5,70.5,0.877424,0.122576
8.5,70.75,0.8759178,0.12408221
8.5,71.0,0.88235235,0.11764765
8.5,71.25,0.88798296,0.112017035
8.5,71.5,0.87152636,0.12847364
8.5,71.75,0.8741889,0.1258111
8.5,72.0,0.8670514,0.13294858
8.5,72.25,0.8716049,0.12839508
8.5,72.5,0.86713,0.13287002
8.5,72.75,0.8582882,0.14171177
8.5,73.0,0.88823974,0.11176026
8.5,73.25,0.8875626,0.11243743
8.5,73.5,0.8776808,0.12231922
8.5,73.75,0.8958758,0.10412419
8.5,74.0,0.9036125,0.096387506
8.5,74.25,0.90502614,0.09497386
8.5,74.5,0.88823974,0.11176026
8.5,74.75,0.8533713,0.14662868
8.5,75.0,0.8283351,0.1716649
8.5,75.25,0.80333084,0.19666916
8.5,75.5,0.23534063,0.7646594
8.5,75.75,0.23338188,0.76661813
8.5,76.0,0.80357134,0.19642866
8.5,76.25,0.8283793,0.17162073
8.5,76.5,0.8280497,0.17195028
8.5,76.75,0.8039354,0.19606459
8.5,77.0,0.23902996,0.76097006
8.5,77.25,0.23115069,0.7688493
8.5,77.5,0.80357134,0.19642866
8.5,77.75,0.8445664,0.1554336
8.5,78.0,0.84762263,0.15237737
8.5,78.25,0.8190635,0.18093652
8.5,78.5,0.5027817,0.4972183
8.5,78.75,0.5027817,0.4972183
8.5,79.0,0.5027817,0.4972183
8.5,79.25,0.5041974,0.49580258
8.5,79.5,0.5041974,0.49580258
8.5,79.75,0.59009624,0.40990376
8.5,80.0,0.3076724,0.6923276
8.5,80.25,0.24400279,0.7559972
8.5,80.5,0.25426507,0.74573493
8.5,80.75,0.25862575,0.74137425
8.5,81.0,0.81442714,0.18557286
8.5,81.25,0.81852186,0.18147814
8.5,81.5,0.8319099,0.1680901
8.5,81.75,0.8441063,0.15589368
8.5,82.0,0.8560326,0.14396739
8.5,82.25,0.87575465,0.124245346
8.5,82.5,0.88748807,0.11251193
8.5,82.75,0.884251,0.115749
8.5,83.0,0.8529598,0.14704019
8.5,83.25,0.82411563,0.17588437
8.5,83.5,0.80311805,0.19688195
8.5,83.75,0.79966396,0.20033604
8.5,84.0,0.7972481,0.20275187
8.5,84.25,0.23841274,0.76158726
8.5,84.5,0.23855008,0.76144993
8.5,84.75,0.24288875,0.75711125
8.5,85.0,0.7975761,0.20242387
8.5,85.25,0.7949451,0.20505488
8.5,85.5,0.8025821,0.19741791
8.5,85.75,0.8027516,0.1972484
8.5,86.0,0.8079234,0.19207662
8.5,86.25,0.8165284,0.18347162
8.5,86.5,0.8277411,0.17225891
8.5,86.75,0.8277411,0.17225891
8.5,87.0,0.81675667,0.18324333
8.5,87.25,0.8238486,0.1761514
8.5,87.5,0.8077522,0.19224781
8.5,87.75,0.8089293,0.19107068
8.5,88.0,0.8089293,0.19107068
8.5,88.25,0.813978,0.18602198
8.5,88.5,0.8275716,0.17242843
8.5,88.75,0.8240562,0.17594379
8.5,89.0,0.8041109,0.19588912
8.5,89.25,0.8320281,0.16797191
8.5,89.5,0.82787013,0.17212987
8.5,89.75,0.81802005,0.18197995
8.5,90.0,0.82803965,0.17196035
8.5,90.25,0.857972,0.14202797
8.5,90.5,0.86321473,0.13678527
8.5,90.75,0.85030913,0.14969087
8.5,91.0,0.8420445,0.15795553
8.5,91.25,0.809951,0.190049
8.5,91.5,0.7975898,0.20241022
8.5,91.75,0.23901366,0.7609863
8.5,92.0,0.2610984,0.7389016
8.5,92.25,0.2546253,0.7453747
8.5,92.5,0.7981486,0.20185143
8.5,92.75,0.80957603,0.19042397
8.5,93.0,0.8145751,0.18542492
8.5,93.25,0.8145751,0.18542492
8.5,93.5,0.8099167,0.19008332
8.5,93.75,0.81014496,0.18985504
8.5,94.0,0.7976986,0.20230138
8.5,94.25,0.7959371,0.20406288
8.5,94.5,0.80327004,0.19672996
8.5,94.75,0.803261,0.19673902
8.5,95.0,0.7949,0.2051
8.5,95.25,0.7949,0.2051
