run_time,variable,RMSE,MAE,Bias,Correlation,Skill Score,n_points,POD,FAR,CSI,FBIAS,F1,threshold_mm,n_events_obs,hits,misses,false_alarms
2026-09-05T10:57:36.770668,tp,0.0017528412609525,0.001346525880725,-0.0001591375590945,0.9999064370854308,0.9862499964516402,12769,0.953,0.004,0.95,0.956,0.974,2.5,9496.0,9048.0,448.0,33.0
2026-09-05T10:57:36.770668,t2m,0.0255311267443433,0.0201253721988858,-0.0023009704286384,0.9999960032416536,0.9971219038027588,12769,,,,,,,,,,
2026-09-05T10:57:36.770668,wind,0.0230586297206496,0.0181405183617011,0.0004160740796825,0.9999567378517324,0.9906598285268556,12769,,,,,,,,,,
2026-09-05T10:58:10.416403,tp,0.0017528412609525,0.001346525880725,-0.0001591375590945,0.9999064370854308,0.9862499964516402,12769,0.953,0.004,0.95,0.956,0.974,2.5,9496.0,9048.0,448.0,33.0
2026-09-05T10:58:10.416403,t2m,0.0255311267443433,0.0201253721988858,-0.0023009704286384,0.9999960032416536,0.9971219038027588,12769,,,,,,,,,,
2026-09-05T10:58:10.416403,wind,0.0230586297206496,0.0181405183617011,0.0004160740796825,0.9999567378517324,0.9906598285268556,12769,,,,,,,,,,
2026-09-05T11:00:04.000588,tp,0.0017528412609525,0.001346525880725,-0.0001591375590945,0.9999064370854308,0.9862499964516402,12769,0.953,0.004,0.95,0.956,0.974,2.5,9496.0,9048.0,448.0,33.0
2026-09-05T11:00:04.000588,t2m,0.0255311267443433,0.0201253721988858,-0.0023009704286384,0.9999960032416536,0.9971219038027588,12769,,,,,,,,,,
2026-09-05T11:00:04.000588,wind,0.0230586297206496,0.0181405183617011,0.0004160740796825,0.9999567378517324,0.9906598285268556,12769,,,,,,,,,,
2026-09-05T11:45:34.727784,tp,0.0017528412609525428,0.0013465258807250293,-0.0001591375590945444,0.9999064370854309,0.9862499964516402,12769,0.953,0.004,0.95,0.956,0.974,2.5,9496.0,9048.0,448.0,33.0
2026-09-05T11:45:34.727784,t2m,0.029151128928834636,0.02297890436192717,-0.0026272199538366543,0.9999959907961015,0.9971218270598046,12769,,,,,,,,,,
2026-09-05T11:45:34.727784,wind,0.018937154363753015,0.014897976455956844,0.00034253589341963123,0.9999565611719309,0.9906572465226332,12769,,,,,,,,,,
